timestamp,OP_UNIQUE_CARRIER,flights,cancellations,avg_dep_delay,flights_rolling_mean,cancellations_rolling_mean,delay_rolling_mean,flights_rolling_std,cancellations_rolling_std,delay_rolling_std,cancellation_spike_flag,delay_spike_flag
2025-10-18,G4,242,0.0,10.863636363636363,298.0,0.0,9.953177134406037,168.8253535462017,0.0,1.3820886877815877,false,false
2025-10-19,G4,500,0.0,24.658,373.6,0.0,12.83231811801259,154.32044582620932,0.0,6.751475285986599,false,true
2025-10-20,G4,452,0.0,8.307522123893806,429.2,0.0,12.983477715205149,107.3647987005052,0.0,6.6106832860899125,false,false
2025-10-21,G4,108,0.0,12.583333333333334,350.8,0.0,13.462144381871815,168.47314326028348,0.0,6.442350559540768,false,false
2025-10-22,G4,142,0.0,12.169014084507042,288.8,0.0,13.716301181074106,178.65385526206816,0.0,6.340171014991254,false,false
2025-10-23,G4,472,0.0,13.572033898305085,334.8,0.0,14.257980688007853,192.65305603597366,0.0,6.148314952985318,false,false
2025-10-24,G4,432,0.0,12.622685185185185,321.2,0.0,11.850917725044889,180.06443291222175,0.0,2.0464075961189696,false,false
2025-10-25,G4,182,0.0,4.725274725274725,267.2,0.0,11.134468245321074,171.3044074155712,0.0,3.61952250603404,false,false
2025-10-26,G4,472,0.0,22.1885593220339,340.0,0.0,13.055513443061187,163.92071254115513,0.0,6.205751745698246,false,true
2025-10-27,G4,432,0.0,20.88888888888889,398.0,0.0,14.799488403937556,122.39281024635396,0.0,7.060702255418863,false,false
2025-10-28,G4,86,0.0,11.36046511627907,320.8,0.0,14.357174647532352,174.63447540505857,0.0,7.224197095055644,false,false
2025-10-29,G4,112,0.0,19.026785714285715,256.8,0.0,15.637994753352459,182.16805427955805,0.0,7.40524151826307,false,false
2025-10-30,G4,438,1.0,23.302059496567505,308.0,0.2,19.353351707611015,191.6194144652363,0.4472135954999579,4.74292766296368,true,false
2025-10-31,G4,410,0.0,20.880487804878047,295.6,0.2,19.091737404179845,180.00777760974665,0.4472135954999579,4.580747304979835,false,false
2025-10-01,HA,207,0.0,9.97584541062802,,,,,,,,
2025-10-02,HA,215,0.0,4.902325581395349,,,,,,,,
2025-10-03,HA,220,0.0,8.222727272727273,,,,,,,,
2025-10-04,HA,210,0.0,9.004761904761905,,,,,,,,
2025-10-05,HA,212,0.0,4.080188679245283,212.8,0.0,7.237169769751565,4.969909455915671,0.0,2.5987533936037113,false,false
2025-10-06,HA,216,0.0,9.606481481481481,214.6,0.0,7.163296983922258,3.847076812334267,0.0,2.5049992306409394,false,false
2025-10-07,HA,213,1.0,8.617924528301886,214.2,0.2,7.906416773303564,3.898717737923583,0.4472135954999579,2.199028142442679,true,false
2025-10-08,HA,209,0.0,8.047846889952153,212.0,0.2,7.871440696748541,2.738612787525823,0.4472135954999579,2.1941246888687322,false,false
2025-10-09,HA,219,0.0,19.652968036529682,213.8,0.2,10.001081923102097,3.834057902536155,0.4472135954999579,5.7900743374711405,false,true
